Bowler		O	,	R	,	W	,	Econ	,	Dots	,		,	
Mohammad Shami	,	4	,	21	,	3	,	5.25	,	13	,	0	,	FALSE
Ishan Porel	,	4	,	39	,	1	,	9.75	,	10	,	0	,	FALSE
Deepak Hooda	,	2	,	37	,	0	,	18.5	,	2	,	0	,	FALSE
Arshdeep Singh	,	4	,	32	,	5	,	8	,	11	,	0	,	FALSE
Adil Rashid	,	3	,	35	,	0	,	11.66	,	6	,	0	,	FALSE
Harpreet Brar	,	3	,	17	,	1	,	5.66	,	4	,	0	,	FALSE
Mustafizur Rahman	,	4	,	30	,	0	,	7.5	,	7	,	0	,	FALSE
Chetan Sakariya	,	3	,	31	,	1	,	10.33	,	5	,	0	,	FALSE
Kartik Tyagi	,	4	,	29	,	2	,	7.25	,	12	,	0	,	FALSE
Chris Morris	,	4	,	47	,	0	,	11.75	,	5	,	0	,	FALSE
Rahul Tewatia	,	3	,	23	,	1	,	7.66	,	3	,	0	,	FALSE
Mahipal Lomror	,	1	,	7	,	0	,	7	,	0	,	0	,	FALSE
Riyan Parag	,	1	,	16	,	0	,	16	,	0	,	0	,	FALSE
